sentiment,text
disgust,when someone makes advances that one does not want
shame,the discovery that one has only thought of oneself
guilt,when i spanked a child in anger and later regretted it terribly
joy,when i passed the first examination that i had to repeat
fear,when i drove to stockholm for the first time and drove off the  stora hissingen road at the wrong exit
anger,when my boyfriend went away for a month long holiday without me
sadness,last year when i worked during the summer holidays and studied  at the same time for an examination i had to repeat my boyfriend  went to greece for a holiday for a month
disgust,when a dog is left whining outside a shop
shame,when i promised to help a friend over a weekend and did not keep  the promise
guilt,when i realized that i had three more examinations to take
joy,the day i was told that i had been accepted as a student of  economics
fear,while taking a short cut through the vasa park i was surrounded  by three people who tried to steal my money i was scared and  was saved only by the appearance of other people
anger,at a restaurant i observed how the gypsies tried to get money by  cheating the foreigners ie non swedish speaking my anger had  nothing to do with hatred against foreigners but it was an  expression of the anger i feel when i see people being used
sadness,at the begining of a new course one is afraid of encountering  problems one can not manage thoughts revolve around failing  the subject and the consequences it would have for the future
disgust,while walking in town i noticed how the police harrassed a man  who was under the influence of alcohol they terrified him with  the thought of arrest by driving close behind him on a pedestrian  street my disgust was directed at the gestures and the facial  expressions of the policemen they seemed to be enjoying  themselves
shame,when my boyfriend revealed that he knew that i had discovered  things of an important nature about him i felt ashamed as i had  not mentioned it earlier
guilt,when i am dishonest to a friend to whom i am very close i  feel guilty because i know that he gives a different version of  the truth and i have not corrected these mistakes and he is  aware that i know that they are wrong
joy,when i found out that i had passed the last two exams by a  margin of three marks
fear,when my father was ill and was waiting for the results of his tests
anger,when i got caught in the pouring rain last thursday and did not  have a raincoat on me
sadness,when i failed an exam
disgust,at a smrgasbord table a man mixed differnet kinds of picked  herrings with fruit salad
shame,when i had not prepared my contribution to the group as  thoroughly as the other members with the result that the  overall result was poor
guilt,when my father and i worked on the house just after he had  recovered from illness i was rather lazy this meant that he  had to work hard and was not very well later
joy,when i gave birth to my son and saw that he was alive and that i  had managed it well he was born a month too early with a  malfunctioning lung this happened a year ago
fear,when i found out that my father had lung cancer and they did not  know how long he would live
anger,when a colleague asked me for help at work despite the fact  that he had more time to do it than i had
sadness,when i did not get the salary increase that i had been expecting  and understood how little ones work was appreciated
disgust,when i was weeding the garden i found a lizard in my hand
shame,when i met a friend whom i had not seen for a long time and  heard all about her troubles i thought that i should have got  in touch with her earlier
guilt,i got angry at my mother for something trivial we were in a  bad mood because my father was very ill and i knew that my mother  really needed support i had reacted wrongly
joy,new years eve 19831984 i met my girlfriend we stood on the  steps outside her parents home and i kissed her for the  first time
fear,when i was stopped by plain clothes policemen because the car i  was driving had overturned on the avenue i had been driving too  fast and i was afraid when i was stopped questionned and then  toild to go the situation ended happily since there were no  consequences
anger,the editor changed the heading of an article that i had written  he considered the heading to be derogatory towards the person i had written  about
sadness,a close acquaintance of the family died of lung cancer  although it was expected i still felt depressed
disgust,when i saw a picture in the gothenburg post of a totally  demolished car with two fatally injured passengers the car was  so badly damaged that they couldnt get the bodies out at the  scene of the accident
shame,one night i had a sexual intercourse with another man my sexual  desire and my curiosity had made me jump into bed with him i am  ashamed of myself now
guilt,due to laziness i failed the term studies completely at  university i also wanted to some extent to protest against my  parents expectations
joy,when i got the loan for my studies
fear,i met intoxicated people with dubious intentions in a back alley  one wednesday night
anger,on the tv i saw a news feature on south africa a policeman  attacked a group of black people with a whip
sadness,the thought of having to read a boring book of 400 pages in  english
disgust,grovelling people
shame,my inability to assert myself positively in a group
guilt,i experience feelings of guilt because i do not study enough
disgust,observing someone in the cafeteria noisily gulping in his food  having extremely bad manners
shame,i guess i have often been ashamed after having talked badly of  other people
guilt,having been angry and unpleasant towards my parents
joy,when my sister after a history of one abortion and one  stillbirth gave birth to a perfectly healty boy
fear,when my sister had the still born child she was emotionally very  deep down and it took her a long time to recover
anger,we were starting a student project and the teacher we talked to  was very negative and not very helpful
sadness,when my boyfriend openly let me down preferring another girl
disgust,i felt some disgust for my boyfriend for a time after he had  left me
shame,cant think of any
guilt,before an accident my aunt offered me the front seat of the car  next to the driver i declined she took that seat and was killed  there when the car crashed
joy,unexpected visit by a close friend whom i hadnt seen for half a  year
fear,i wandered by mistake into the safety zone of a shooting range  and was shot at
anger,being treated unfairly
sadness,breaking up with a girl
disgust,nothing
shame,none
guilt,little contact with my father before he died
joy,when i was accepted as a student at the college not having  thought it possible
fear,when i was the first to arrive at the scene after an accident  and found that a close school friend had been killed
anger,i was accused of having done something which i hadnt and got  very angry
sadness,when my grandmother died
disgust,not applicable
joy,a couple of years ago during the summer holiday i was fishing at  a lake with my husband suddenly it started raining while the  sun was still shining i experienced a feeling of joy happiness  and fulfillment the whole nature was full of music
fear,i was alone at home in bed reading a womens magazine in which  there were storiees of paranormal experiences my leg was  itching and i stretched my hand to scratch and i felt another  strange hand later i realized that it was the corner of the  blanket
anger,i went to a lecture and once again it had been cancelled this  was the second time one had a negative attitude towards the  lecturer
sadness,i heard that a former superior of mine had died i was later at  home home reading about it in the newspaper and i thought of our  interaction and how it was no longer possible the limited scope  of human life is sad
disgust,in the tram there was a fat sickly looking woman in front of me  who was asking for directions in a thick voice when she got up to  go a disgusting smell of urine came from her i felt that i  would choke
shame,when we were at home my husband and i he made a remark about  something i had done in a perfectly friendly manner my deed  had been unjust and i knew that my husband was right therefore my  sense of shame
guilt,i made a remark to my sister concerning her attitude to men the  way she talked and i compared her to an acquaintance of mine  later the same evening my sister looked sad i felt guilty  about her sadness
joy,i had a summer job in sweden and my boyfriend came to meet me on  my birthday
fear,i went to practice in sweden during summer and i was afraid that  i would not do well
anger,in the holiday cottage of our association two of my pals came to  wake me up early one morning by bringing a radio played at the  highest volume into my room it was the morning service at its  loudest
sadness,my grandmother died suddenly last summer
disgust,my superior at the summer job swindled customers as much as he  could and once put me in a difficult situation after which i  could not but detest him
shame,once i arrived two hours late to my work place a bank and i was  still feeling feeble and tired
guilt,our association had polish visitors and when they were going back  by boat i did not go to see them off i am the chairman of the  association
joy,i was told quite unexpectedly that one wanted me to become the  vicechairman of our student organisation i was really  surprised and joy was the first emotion i felt though behind it  there was worry how shall i succeed
fear,our tutorial group was soon to be divided and we got a list of  names of freshmen out of which five were to be in my group we  read the names and then each group went its own way to a seminar  room i wondered how i would cope with the new situation and if  i would succeed as a group leader
anger,we were in a disco and the evening was not at all pleasant  despite my not knowing why i was angry with my companion i let  him feel my bad humour as i cannot hide my feelings
sadness,my grandmother died and my mother called me one sunday morning  in the autumn the way my mother told me about it i hated her  at that moment she sounded as if she had been waiting for the  death of my grandmother i had lost a person close to me i  felt guilty too as i had been bad to my grandmother of late i had not  remained calm when she no longer understood everything so well
disgust,at the underground station a drunkard came to speak to me he  tried to ask me something but i did not answer so he began to  speak about me with his companion i detested this dirty  growling man
shame,i was worried by a task related to my studies which had to be  done in groups of two i was talking about it to my friends when  i said something negative in too abrupt a manner concerning my  work partner i did not quite mean what i said and i felt  ashamed at having been mean enough to criticize him as he is also  a friend of mine
guilt,i had told my boyfriend that i did not want to go on with our  relationship i knew that i was important to him but i wanted to  be free i saw that this was difficult for him but i remained  firm and did not change my mind
joy,last night i had a chat with a fellow student i had known her  for about half a year and for the first time we were speaking  the same language meaning an inspiring discussion and  encounter
anger,i sometimes quarrel with my mother because she blames me  though i have not in any way been connected to some events
sadness,after hearing about the death of my grandfather first i could  not believe it but later i wept and felt the situation was  hopeless i felt lonely and wanted to be consolated
disgust,in the evening while i was watching tv my little brother came  in and started eating food he had brought from the kitchen while  i was trying to concentrate on the program
shame,my little brother was arrested by the police at the railway station after  he had drunk some beer
guilt,at my temporary job i have to restrict others actions and make  them obey me and this very often gives me a feeling of guilt i  wish there could be some other way of acting
joy,i met a dear friend of mine after a long time i expressed my feelings  in our own usual way by mutual scolding and abusing with  complete understanding and by touching patting and taking the  hand of the other person etc
fear,i felt fear of the purest kind after a car accident the  incident and images of horror kept coming back to my mind i  wondered what could have happened to my sister my friend and me  though nothing very serious actually happened
anger,two boys whom i know were telling me in an indecent manner how  they had teased a young and shy girl i know they had despised  her conviction scorned and touched her i got very angry and  did not try to conceal it and gave it back to them
sadness,my sweetheart left me or rather we decided to break it off by  mutual consent the consequences were unrestrained weeping  feelings of loneliness hopelessness and disconsolation i felt  that i should find a friend to talk to joyfully and to forget
disgust,out of sheer curiosity i went to see a pornographic movie in  copenhagen the room was full of men who panted and  masturbated very disgusting
shame,after having quarelled unnecessarily and without any reason and  having been stupidly cross in every way
shame,do not know
guilt,forced to fill in a questionnaire
joy,when i won a tennis match
fear,when my dog ran out on thin ice last spring
anger,when my tennis match was interrupted because a kid cycled right  into the court
joy,celebrations on the graduation day with the orchestra playing in  the garden i am a part of this orchestra
fear,risk of being involved in a fight after a party
anger,i had a very heavy work load and two colleagues whom i have  nothing against disturbed me by terror ringing ie  continously interrupting me by telephoning
sadness,after an exam which i failed
disgust,normally i do not feel disgusted
shame,when i overtook a car on the mainroad misjudging the distance of  an oncoming car and this resulted in tooting and flashing from  the other driver we could have collided and i had an  acquaintance in the car with me
guilt,i saw a neighbour from the same appartment block as me lying  on the road he could have been injured or ill i kept 20  metres away and did not go to help him
joy,when i met an old schhol friend school love who works in  skvde
fear,when i was cycling to school i nearly got knocked down by a car  which overtook me too closely did not give me any swerving space
anger,when i was deputy manager during the summer certain deputies  took liberties more than what was normal
sadness,when i realized that my girlfriend whom i like and i were going  to separate
disgust,dog dirt which thaws in the spring
shame,when i forgot my mothers birthday
guilt,can not think of anything just now
joy,passed the last exam
fear,was nearly knocked down by a car
anger,i reached the bus stop and realized that i had forgotten my bus  pass
sadness,my current work load is too much the feeling comes back from  time to time
disgust,can not think of any situation
joy,when my one year old son gives me a spontaneous kiss
fear,when someone close to me is travelling by car and is delayed
anger,when someone does something wrong which affects me negatively
sadness,when i think about my parents getting old
disgust,can not remember
guilt,i do not have the time for other peoples problems my  motherinlaw is sometimes depressed and i do not have the time  the desire or the strength to help
joy,an excolleague asked me if i was interested in working in their  accounts bureau they needed clever people and he had  immediately thought of me
fear,i was driving and a deer suddenly appeared in front of the  car when there was a lot of traffic behind me
anger,i saw a report on tv news on apartheid in south africa
joy,when my girlfriend became pregnant
fear,when i nearly collided with another car
anger,the time when someone let the air out of the tyres of my cycle
sadness,when i read a lot and did not remember anything
guilt,the time that i had to put my dog to sleep
sadness,long illness
joy,when i passed an exam
fear,when i was travelling by tram i tripped and fell against the  door i thought that i was going to fall out
anger,when i missed the tram after having run for it
sadness,the inability to read a book at college
disgust,if a guy one is not interested in makes advances
shame,i drink wine too often
guilt,i do not study enough as i do not understand it properly
joy,i worked at a lawyers office during summer and i got a very  good reference from him
fear,i had been watching a triller a dark night in the country and i  had to go the outside toilet on my own
anger,when i am accused of something i have not done i get unbelievably  angry
sadness,when i began to read a thick book which i had a limited time to  read also when i have a lot of work to do and i cannot keep up
disgust,someone vomited on the street
shame,i can not think of any incident when i have felt very ashamed  there are small incidents that i am ashamed of for instance  not sending money to the children in ethiopia
guilt,i had lunch with my exboyfriend and did not mention it to my  fiancee i felt guilty despite the fact that i felt nothing for  my exboyfriend
joy,when i was finally qualified for my profession
fear,someone attacked me with a knife
anger,someone drove into my car and then denied that it had happened
sadness,when i was told that my friends wife had cancer
disgust,when i saw a dog which had been knocked down by a car
shame,when i boxed my childs ears
guilt,when i was fined for speeding
joy,i stopped working had a boring job
fear,i was going home by car late one night when it was cold dark and  windy i became rather panicky on the way to my house
anger,quarrel in the family
sadness,when i am alone in a room with no contact with anyone  loneliness drains me
disgust,when i was on holiday someone vomited in front of me
shame,emptied a bucket of water in a hospital
guilt,when i feigned sick leave from work
joy,when i get a hug from someone i love
fear,i was driving very fast on a small road and i met an oncoming car  in a right handed bend the other driver was on his own side of  the road and i had to skid out of it to avoid a collision it  was dark
anger,my car had been towed away by the traffic police because it had  been wrongly parked however the sign had been put up only after  i had already parked
sadness,after an operation i had to stay in bed for a long time
disgust,i was forced to stay in the canteen and eat the food that i had  not asked for but got it anyway
shame,when i did not buy what i had promised to
guilt,by mistake i took a book from the library which was not supposed  to be loaned out
joy,when i won an unexpected sum of money
fear,my 2 year old daughter disappeared in a moment of inattention i  was responsible for her
anger,a colleague asked me for some advice and as he did not have  enough confidence in me he asked a third person
sadness,i wanted to be pregnant and did not succeed so i was depressed  at every menstruation
disgust,in a warm bus full of people someone vomited and the whole bus  stank
shame,i complained about a colleagues behaviour as she goes back on  her word is often absent and is irresponsible i found out that  she was an alcoholic and was trying to fight againt her  addiction
guilt,i spoke to my mother on the phone she had skin cancer and was  waiting to be operated i forgot to ask her the date of the  operation and just before finishing our conversation she gave me  the date in passing
joy,when i was at a party i met an old friend from an adult  education course we had not met for 2 years but had both thought  a lot about each other a wonderful experience
fear,when i was cycling through the park late one night two people  jumped out of the woods and tried to stop me there were  shouting something at the same time
anger,when close relatives tried to dissuade me from studying  psychology because of its low status
sadness,i had a long discussion on politics with an acquaintance he  was more knowledgeable than me and i failed to explain my point  of view and was misunderstood so i felt depressed and left
disgust,when i read a newspaper article on a young girl who had been  raped and assaulted one night by several men when she was unconscious
shame,my mother revealed personal details about me and the  negative aspects of my character to other people when i was  present but unable to defend myself
guilt,i was unfaithful to my partner once when he was working abroad  for a long period
joy,when i recently got an appartment in central gottenburg
fear,when i saw a large spider crawling up the wall
anger,my employer took too many aspirins for a bad back and also drank  an enormous amount of spirit this was dangerous and he did  not understand that he had done anything wrong
sadness,when i left new york and all my family and my friends behind me
disgust,when i slept with a guy because my best friend wanted me to  he had never had intercourse with anyone and had a terrible  complex about it
shame,when i dated a close girlfriends boyfriend a few times he told  me that it was over between them and i accepted it when she  found out she finished our friendship
guilt,when i broke off with my boyfriend after three years it was  quite unexpected for him and there was no particular reason for  the break up such as someone else
joy,when my son returned from mountaineering healthy in body and  soul
fear,when one meets new people with whom one is forced to collaborate  with
anger,the sports fishermen who catch gulls instead of fish with their hooks  it is often a mistake but it makes me angry
sadness,i feel sad about an event i can not influence
disgust,when a member of the family complains about the food that is  served it disgusts me
shame,cannot recall any incident when i felt shame
guilt,i have chosen to put my son in a private school were the  examination marks are low every time that he gives me his term  results i am left with a sense of guilt
joy,when i was informed that i had been accepted as a student of  psychology
fear,when i was in a little fishing boat and we ran into hard weather  in the open sea
anger,when i found out that the guy i was dating at a particular time  had a steady relationship going on with someone else for a long  time
sadness,i felt sad and depressed when i heard that our cat had died
disgust,when i was working as a nurse in a mental hospital a patient ate  up the contents of another patients spitoon
shame,at primary school when i vomited in front of others in the middle  of a lesson
guilt,i arrived an hour late for an important meeting i had  misunderstood the time
joy,when i was acceptted as a student of psychology
fear,when my son has a pain in his leg for no apparent reason
anger,when after a week at school a teacher sent a note home saying  that my son was inattentive and unable to do his lessons
sadness,when i thought that it was going to be impossible for me to start  studying due to wrong information from the student advisor
disgust,at a certain persons lack of cleanliness at home and  personally
shame,when i made the same mistake that i had accused someone else of and  this was obvious to a third pereson
guilt,when i lost something that was valuable to my sister
joy,when my son was born
fear,when i nearly drowned in icy water wearing ice skates it was  difficult to get out
anger,when i was pointed out as a problem child in primary school and  my mother took the teachers point of view
sadness,when i was accused of neglecting work for the wrong reasons
disgust,my parents attitude towards each other when they should become  reconciled despite my fathers longtime addiction
shame,when i was caught stealing money from my father
guilt,i stole a coconut cake from a reception table and when i put  in my mouth i realized that the host was watching me
joy,when after 10 months of national service i was downgraded and  did not have to do the remaining 5 months
fear,when i was reprimanded by the manager of the hotel where i  worked during autumn 1984
anger,when my parents drove me to a nearby place and went home  immediately instead of waiting a few hours they could have  easily waited
sadness,when my exgirlfriend and i discovered that there was a certain risk  of her being pregnant
disgust,when i was about to clean the draining board and saw it looked  underneath the sink i live in a students hostel
shame,when my mother caught me masturbating
guilt,as the only person in my family into academics i ought to have  looked after my younger and only sister better with respect to  her education and life experiences
joy,when my older sister told us that she was thinking of joining the  rest of the family for the winter sports holiday
fear,slept in a chapel and in the middle of the night i realized that  there was someeone else in the chapel i never discovered who  it was and why he was there
anger,when we were in high school a few guys sometimes provoked a  friend of mine they called her a pig and then grunted this  irritated most of the girls once one of the girls got angry at  my friend and said something nasty and this made me terribly  angry
sadness,i talked to my boyfriend on the phone when i was in high spirits  and had a lot to tell him i had been looking forward to this  conversation and he did not listen to me to the extent that i  had anticipated
disgust,a mother who shouts at her child for nothing
shame,when i complained to my mother about how untidy the kitchen  loooked she boxed my ears this had never happened before
guilt,as i could not be home before midnight i called home at 1130 and  asked them to leave the door open so that i could get in i  actually woke up the whole family by calling them so late my  mother could not go back to sleep besides she had a conference  the next day and really needed to sleep
joy,when i got through the first day here at the department
fear,when i was cycling past a parked car someone opened the door and  nearly pushed me off my bike and into the traffic
anger,when my boyfriend sat up half the night playing computer games  with a friend
sadness,when i had to leave my mother and my sister after a weeks visit
disgust,when i saw a big spider from very close
shame,when i asked a friend to return the money that i had loaned her  and then remembered that she had repayed me in several ways
guilt,when one of my parents insinuates something about the other  they are divorced
joy,when i was asked to be a childs godmother
fear,on the way down a ski slope which was difficult and steep
anger,when my mother interfered in my life
sadness,when i was left alone one weekend without being prepared for  it
disgust,the first time that i saw a surgeon cut off a leg and put it in a  black rubbish bag
shame,when i forgot about a meeting at work
guilt,when i demand too much from my friends
joy,when my husband suddenly came to see me at my new job and  brought some flowers and cake with him
fear,when i was nearly attackad by a man who had been chasing me
anger,when my father asked me if i was a communist at the same time he  made it clear that i should no longer see myself as his daughter
sadness,when i applied for a job which i thought i had a good chance of  getting i was not even granted an interview and did not get the  job
disgust,tv features showing the violation of defenceless people
shame,when i as a child of 9 or 10 i was playing doctor with the  neighbours boys their mother caught us
guilt,when my husband talked about the restrictions he will have to  accept in his life to make our marriage work i felt that it was  directed at me as it was me who had demanded the changes we  were with a marriage counsellor then
joy,when we were able to afford a new sofa a leather one which cost  sek 20000 i had waited for it for 23 years
fear,vertigo standing on a ladder and painting the house
anger,when my boss enrolled in a course to satisfy his own ends to  trample on his associates i have the misfortune to have one of  my superiors in my course
sadness,when i argue with my mother about the way she treats her two  children differently
disgust,spit and vomit
shame,spots on the seat covers of my husbands car
guilt,not speaking to my sisterinlaw due to lack of interest in a  relationship on my side
joy,when i recently managed to get my first consulting assignment  myself ie on my own initiative
fear,i was within a hairs breadth of knocking down a drunkard who  suddenly ran into the street the fear came later when i  realized what could have happened
anger,when my friend as usual forgot the tickets at home for a  performance we missed it
sadness,the elections of 1982 and 1985 the thought of what a social  democrat and communist majority could achieve especially worker  share funds and its extension
disgust,a study visit to a chicken factory the butchery the smell  the environment and the noise
shame,confession to my parents about my involvement in a moped theft
guilt,no answer as i see very little difference between shame and  guilt therefore see answer for shame
joy,when i was appointed to position of trust in a group set up to  change the working environment
fear,i was alone in a cottage i often stay in i was woken up by a  rustling sound in the middle of the night
anger,when i tried to explain to a plumber face to face that the  toilet was broken and he did not believe it it had been mended  ten times
sadness,when the result of a project work was treated nonchalantly  intead of being criticized by the teacher
disgust,when programmes on violence or pornography are shown on tv
shame,when i talked maliciously about a colleague at work to someone  else immediately afterwards i felt ashamed
guilt,when i decided to take a week s holiday without consulting the  family first
joy,after my girl and i talked things over our relationship changed  and became positive a diificult time turned into pleasant one
fear,when we could not land our plane and we knew that the fuel was  running out bad weather had already frightened us
anger,when i read about reagans tactical decision concerning the  south african boycott
sadness,when my half brother became seriously ill with cancer and died  later
disgust,a film were a woman was attacked and raped one did not see the  worst but it had the desired effect very strong
shame,i made a comment and it was interpreted completely differently  from what i had meant when i said it i realized how my mother  had understood it
guilt,i had promised to visit my girlfriend but for different reasons  could not make it i rang up later to tell her that i could not  come
joy,when i was offered a high position of trust which i later  accepted
fear,i had the window open and the door was shut so that the kitten  would not go out my partner came in and started talking about  something and i forgot about the window and suddenly i saw the  kitten hanging from the window frame i was rigid with fright  till i got hold of her
anger,some noisy guests arrived at the hotel i had been slightly  irritated earlier at night when i was trying to sleep they were  having a party so i went and yelled at them i wanted to sleep  as i had to get up early the next day
sadness,when i was told that i had not been successful in getting the job i  had been expecting i was sure that i was sufficiently  qualified
disgust,when my cat vomited and a worm came out which was still alive i  was forced to wipe it up
shame,when i was a child it was found out that i had taken off my  clothes outdoors it was summer and my friend and i were out  in the woods it had felt exciting at that time my parents  discovered that my trousers were back to front and i felt  ashamed
guilt,when i stole money from my mother and she asked me later if i was  responsible i never admitted it
joy,cycling in the spring sunshine gives me such delight  happiness is to be healthy my wonderful finance simply being  here on earth
fear,when my relationship with my family is very poor i often fear  being excluded from the group a fear which is stronger in  situations when an argument is on hand
anger,recently when my sister who is four years younger than me and  very spoiled shouted at my mother for no apparent reason the  heartbroken expression on my mothers face made me feel very  angry
sadness,when i watched the tv programme called the living planet and  saw the far reaching environmental destruction caused by man
disgust,disgust is a feeling that i have never experienced with peoplie  but on the other hand it has been with repulsive animals ie  snakes on tv
shame,when relatives have acted strangely and unfriendly towards me
guilt,when due to hunger and tiredness i became generally irritated  with my fiancee and made cutting remarks which really hurt him  later i realized that my unfounded irritation had hurt the person  i love most on earth
joy,on a boat trip to denmark 14 of us had a lot of fun and we  spent sek 10 each on one armed bandits and against all odds we  won the jackpot of sek 1000
fear,a rainy day i was cycling downhill and a car door suddenly  opened and while trying to avoid it the back wheels of my bike  got caught in the tram tracks i somersaulted but had no  injuries
anger,on the way home from marstrand i was driving behind my fathers  car another car tried to push in front of my father and he was  forced to swerve and he thus collided the car with a pillar the  other car drove off without even seeing what had happened
sadness,my girlfriend who had spent 6 months abroad broke off our  relationship by letter
disgust,at the police centre a man between 4050 was brought in he was  very drunk and in all likelihood had not slept indoors for a long  time and had relieved himself in his trousers
shame,a customer at the shop where i worked came in and asked if the  goods that he had ordered had arrived i had totally  forgotten about this order and i tried to offer weak excuses
guilt,i was 45 years old when i hid the bicycle keys of a not very  good friend after a few hours i pretended that i had found  it
joy,when i was at the endofterm party last week and had fun was  happy and sang and drank only soft drinks it is possible to  have a good time without alcohol
fear,last summer i was walking along the beach in a bikini and an  awful man came cycling after me he was shouting and i ran as  fast as my legs could carry me
